target_id,ra,dec
SSTSL2 J183221.07-011528.4,278.087793,-1.257906
SSTSL2 J154503.74-342820.5,236.265607,-34.472387
SSTSL2 J223749.58+750406.4,339.456593,75.068451
SSTSL2 J041319.96+281023.5,63.333205,28.173203
SSTSL2 J041743.94+280557.1,64.4331,28.099215
SSTSL2 J053306.23-004219.7,83.275969,-0.705495
SSTSL2 J043219.18+262802.3,68.079945,26.467315
SSTSL2 J042901.24+261544.6,67.255191,26.262399
SSTSL2 J032710.83-290601.0,51.795141,-29.100291
SSTSL2 J041834.74+280155.1,64.644767,28.031989
SSTSL2 J043541.34+240131.0,68.922272,24.025291
SSTSL2 J131819.14-623912.3,199.579784,-62.653421
SSTSL2 J063150.43+045150.2,97.96014,4.86395
SSTSL2 J201820.03+391927.3,304.583471,39.324256
SSTSL2 J202253.58+391446.4,305.72326,39.246236
SSTSL2 J044157.15+252005.6,70.488159,25.334916
SSTSL2 J193717.58+203558.8,294.323253,20.599688
SSTSL2 J025134.27+603546.9,42.892827,60.59638
SSTSL2 J204704.62+420710.6,311.769255,42.11962
SSTSL2 J060625.80-054901.9,91.607525,-5.817197
SSTSL2 J162934.55-495813.9,247.39399,-49.970539
SSTSL2 J215912.32+582039.4,329.801359,58.3443
SSTSL2 J124952.16-621734.3,192.467345,-62.292884
SSTSL2 J230035.57+611730.3,345.148214,61.291769
SSTSL2 J041503.98+282423.1,63.766592,28.40643
SSTSL2 J022708.95-051406.9,36.787308,-5.235252
SSTSL2 J202132.29+384431.8,305.384583,38.742182
SSTSL2 J122248.29-791046.1,185.701228,-79.179477
SSTSL2 J174106.97+685421.3,265.27905,68.905926
SSTSL2 J003718.44+402119.8,9.326864,40.355506
SSTSL2 J025336.15+603540.5,43.400642,60.5946
SSTSL2 J192850.05+184858.2,292.208581,18.816168
SSTSL2 J122108.91-801543.0,185.28714,-80.261972
SSTSL2 J045520.35+303234.1,73.834829,30.542819
SSTSL2 J201921.66+390538.3,304.840279,39.093986
SSTSL2 J134443.02-625304.9,206.17928,-62.884722
SSTSL2 J171816.19-264310.6,259.567461,-26.719618
SSTSL2 J023126.87+724242.9,37.861989,72.711934
SSTSL2 J224406.28+590750.4,341.026167,59.130673
SSTSL2 J110352.24-595013.4,165.967675,-59.83708
SSTSL2 J202404.76+411928.5,306.019875,41.324589
SSTSL2 J154651.67-543456.7,236.71533,-54.582443
SSTSL2 J060705.59-045305.7,91.773305,-4.884944
SSTSL2 J231240.98+622212.0,348.170772,62.370009
SSTSL2 J230344.68+612817.9,345.93619,61.471642
SSTSL2 J205137.93+432304.6,312.908081,43.384618
SSTSL2 J230731.57+622711.8,346.881543,62.453288
SSTSL2 J053040.95+124416.2,82.670659,12.737833
SSTSL2 J043157.81+243610.7,67.990903,24.602995
SSTSL2 J223605.34+603159.5,339.022256,60.5332
SSTSL2 J230259.59+621132.2,345.748304,62.192297
SSTSL2 J205132.77+442348.0,312.886564,44.39667
SSTSL2 J221821.04+592328.8,334.587702,59.391356
SSTSL2 J061525.14-062537.5,93.854751,-6.42711
SSTSL2 J194810.68+242252.9,297.044505,24.381381
SSTSL2 J205726.69+433529.9,314.361243,43.591659
SSTSL2 J205122.78+443342.5,312.844941,44.561821
SSTSL2 J161436.29-500306.2,243.651242,-50.051734
SSTSL2 J205557.09+441535.7,313.98791,44.259922
SSTSL2 J203357.43+381854.7,308.489319,38.315219
SSTSL2 J223623.99+751139.2,339.099971,75.194232
SSTSL2 J202041.51+404859.1,305.172961,40.816439
SSTSL2 J114823.41-624452.8,177.097578,-62.748021
SSTSL2 J231028.66+624042.6,347.619437,62.678518
SSTSL2 J215232.11+624330.3,328.133806,62.725098
SSTSL2 J210145.40+680420.9,315.439192,68.072496
SSTSL2 J205404.86+430109.4,313.520278,43.019286
SSTSL2 J231221.59+622119.1,348.089988,62.355306
SSTSL2 J060601.34-061104.3,91.505591,-6.184555
SSTSL2 J054249.79-081210.2,85.707479,-8.202854
SSTSL2 J202424.37+385746.7,306.101556,38.962997
SSTSL2 J185421.09+005240.0,283.587895,0.877793
SSTSL2 J063959.24+092724.5,99.99686,9.456825
SSTSL2 J205312.30+433828.6,313.301251,43.641279
SSTSL2 J181626.06-023237.5,274.108605,-2.543772
SSTSL2 J220346.17+763346.2,330.942403,76.56286
